Feature ID
SH0001502.10FU_MZ014637_reps_singleton
SH0001677.10FU_MT940863_reps_singleton
SH0001680.10FU_MT878366_reps_singleton
SH0001681.10FU_OQ226175_reps_singleton
SH0001684.10FU_MT940862_reps_singleton
SH0001686.10FU_ON175994_reps_singleton
SH0001740.10FU_UDB01689064_reps_singleton
SH0001780.10FU_UDB02649731_reps_singleton
SH0001781.10FU_MW007669_reps_singleton
SH0001783.10FU_KT833866_reps_singleton
SH0001785.10FU_KF220061_reps_singleton
SH0001787.10FU_OP420542_reps_singleton
SH0001789.10FU_MN077165_reps_singleton
SH0001790.10FU_MN102690_reps_singleton
SH0001792.10FU_UDB02644328_reps_singleton
SH0001860.10FU_LN849748_reps_singleton
SH0001870.10FU_ON567324_reps_singleton
SH0001871.10FU_MN121007_reps_singleton
SH0001921.10FU_UDB02684867_reps_singleton
SH0001927.10FU_UDB02684870_reps_singleton
SH0001929.10FU_UDB02684963_reps_singleton
SH0001933.10FU_UDB02686649_reps_singleton
SH0001954.10FU_MF506821_reps_singleton
SH0001955.10FU_UDB02656741_reps_singleton
SH0001958.10FU_UDB02692659_reps_singleton
SH0001963.10FU_UDB03829412_reps_singleton
SH0001986.10FU_MW506833_reps_singleton
SH0002003.10FU_AF298129_reps_singleton
SH0002004.10FU_LC669601_reps_singleton
SH0002006.10FU_KJ698636_reps_singleton
SH0002010.10FU_MN930629_reps_singleton
SH0002011.10FU_UDB03220375_reps_singleton
SH0002012.10FU_UDB03220517_reps_singleton
SH0002014.10FU_OQ282814_reps_singleton
SH0002015.10FU_KX149018_reps_singleton
SH0002024.10FU_KX953750_reps_singleton
SH0002046.10FU_HM362907_reps_singleton
SH0002051.10FU_MZ484601_reps_singleton
SH0002054.10FU_AF193352_reps_singleton
SH0002055.10FU_AF193356_reps_singleton
SH0002056.10FU_AF193353_reps_singleton
SH0002057.10FU_AF193360_reps_singleton
SH0002082.10FU_UDB03146087_reps_singleton
SH0002090.10FU_UDB03142661_reps_singleton
SH0002094.10FU_KC182044_reps_singleton
SH0002098.10FU_UDB03150113_reps_singleton
SH0002099.10FU_UDB03147799_reps_singleton
SH0002100.10FU_UDB03160802_reps_singleton
SH0002101.10FU_UDB03144457_reps_singleton
SH0002103.10FU_UDB03152956_reps_singleton
SH0002109.10FU_UDB03160492_reps_singleton
SH0002114.10FU_UDB03153826_reps_singleton
SH0002127.10FU_KX227745_refs_singleton
SH0002128.10FU_KX227744_reps_singleton
SH0002142.10FU_OQ718062_reps_singleton
SH0002144.10FU_OQ604663_reps_singleton
SH0002146.10FU_OQ718061_reps_singleton
SH0002148.10FU_AF250812_reps_singleton
SH0002150.10FU_UDB06665430_reps_singleton
