id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1206929.10FU_JX332067_reps	0.133187765032732	SH1206929.10FU_JX332067_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_sp	perithecium_(hymenium_hidden,_narrow_opening)	plant_pathogen
SH1088456.10FU_OQ303637_reps	0.0658369571226523	SH1088456.10FU_OQ303637_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma;s__Ganoderma_sp	polyporoid	plant_pathogen
SH1429283.10FU_JX159653_reps	0.0614221045622966	SH1429283.10FU_JX159653_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae;g__Saccharomycopsidaceae_gen_Incertae_sedis;s__Saccharomycopsidaceae_sp		
SH1262634.10FU_LC643174_reps	0.0523725617295849	SH1262634.10FU_LC643174_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_clavatophorus	not reported	unspecified_saprotroph
SH1262657.10FU_EF652036_refs	0.0385571299285794	SH1262657.10FU_EF652036_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	not reported	unspecified_saprotroph
SH1355260.10FU_KX359600_reps	0.0244153406567847	SH1355260.10FU_KX359600_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomiaceae_gen_Incertae_sedis;s__Chaetomiaceae_sp		
SH1296995.10FU_MW856734_reps	0.0233388472451369	SH1296995.10FU_MW856734_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_ovatoascomatis	perithecium_(hymenium_hidden,_narrow_opening)	litter_saprotroph
SH1275223.10FU_KU847232_refs	0.0231656340323457	SH1275223.10FU_KU847232_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Striaticonidium;s__Striaticonidium_brachysporum	not reported	soil_saprotroph
SH1135311.10FU_JF412007_refs	0.0201675248519032	SH1135311.10FU_JF412007_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Mycothermus;s__Mycothermus_thermophilus	none	unspecified_saprotroph
SH1382505.10FU_EF567995_refs	0.0197381722508768	SH1382505.10FU_EF567995_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	none	nectar/tap_saprotroph
SH1295916.10FU_OP745414_reps	0.0191846507321193	SH1295916.10FU_OP745414_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__Stemphylium_vesicarium	not reported	plant_pathogen
SH1049864.10FU_JX348889_reps	0.0149806167436299	SH1049864.10FU_JX348889_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_buharicum	not reported	plant_pathogen
SH1060978.10FU_OM169327_reps	0.0146176058245625	SH1060978.10FU_OM169327_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Cordycipitaceae_gen_Incertae_sedis;s__Cordycipitaceae_sp		
SH1307587.10FU_KC253960_refs	0.0138194370350603	SH1307587.10FU_KC253960_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_nomiae	not reported	unspecified_saprotroph
SH1269478.10FU_KY307852_refs	0.0136562784986836	SH1269478.10FU_KY307852_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycopsidaceae;g__Saccharomycopsis;s__Saccharomycopsis_fibuligera	none	nectar/tap_saprotroph
SH1306036.10FU_EU041803_refs	0.0134698454926432	SH1306036.10FU_EU041803_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Zasmidium;s__Zasmidium_strelitziae	perithecium_(hymenium_hidden,_narrow_opening)	plant_pathogen
SH1202150.10FU_AB603990_refs	0.0131377912798708	SH1202150.10FU_AB603990_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Simplicillium;s__Simplicillium_subtropicum	not reported	animal_parasite
SH1345419.10FU_LC739095_reps	0.0123615528892858	SH1345419.10FU_LC739095_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scedosporium;s__Scedosporium_sp	cleistothecium_(closed,_spherical)	soil_saprotroph
SH1260155.10FU_MH864064_reps	0.0122273417426983	SH1260155.10FU_MH864064_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Eurotiales_fam_Incertae_sedis;g__Eurotiales_gen_Incertae_sedis;s__Eurotiales_sp		
SH1296325.10FU_UDB0806819_reps	0.0116983705578818	SH1296325.10FU_UDB0806819_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
