id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1381989.10FU_KU163715_reps	0.0575389495435335	SH1381989.10FU_KU163715_reps	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_sp	none	soil_saprotroph
SH1085887.10FU_MN796509_reps	0.0505881705045739	SH1085887.10FU_MN796509_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	none	nectar/tap_saprotroph
SH1189590.10FU_KM269165_reps	0.046069937164882	SH1189590.10FU_KM269165_reps	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_globosa	none	soil_saprotroph
SH1205765.10FU_AF444440_refs	0.0443644371812629	SH1205765.10FU_AF444440_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_gracile	none	soil_saprotroph
SH1135439.10FU_DQ641243_reps	0.0371780671523765	SH1135439.10FU_DQ641243_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;s__Metschnikowia_borealis	none	nectar/tap_saprotroph
SH1382505.10FU_EF567995_refs	0.0328573396010594	SH1382505.10FU_EF567995_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	none	nectar/tap_saprotroph
SH1135454.10FU_DQ641241_reps	0.029277517743013	SH1135454.10FU_DQ641241_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;s__Metschnikowia_sp	none	nectar/tap_saprotroph
SH1334679.10FU_LN808873_reps	0.0286752031932153	SH1334679.10FU_LN808873_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	perithecium_(hymenium_hidden,_narrow_opening)	litter_saprotroph
SH1262634.10FU_LC643174_reps	0.0273109876246147	SH1262634.10FU_LC643174_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_clavatophorus	not reported	unspecified_saprotroph
SH1334767.10FU_KT160857_reps	0.0272475975972709	SH1334767.10FU_KT160857_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1388473.10FU_KM652176_reps	0.0228989721822635	SH1388473.10FU_KM652176_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Hirsutella;s__Hirsutella_subulata	not reported	animal_parasite
SH1371697.10FU_AY328915_refs	0.0228818667757486	SH1371697.10FU_AY328915_refs	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_sebi	none	unspecified_saprotroph
SH1242710.10FU_MK275227_reps	0.0201325534945841	SH1242710.10FU_MK275227_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__Debaryomyces_sp	none	nectar/tap_saprotroph
SH1371705.10FU_KJ494615_refs	0.0186338997538254	SH1371705.10FU_KJ494615_refs	k__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia;s__Wallemia_canadensis	none	unspecified_saprotroph
SH1347477.10FU_JX143583_refs	0.017765949704375	SH1347477.10FU_JX143583_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora_coniogrammes	perithecium_(hymenium_hidden,_narrow_opening)	plant_pathogen
SH1245205.10FU_MT322428_reps	0.0175361130293348	SH1245205.10FU_MT322428_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_parapsilosis	none	nectar/tap_saprotroph
SH1316101.10FU_KJ180922_reps	0.0160575449201349	SH1316101.10FU_KJ180922_reps	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_sp	none	soil_saprotroph
SH1206929.10FU_JX332067_reps	0.0137917037583199	SH1206929.10FU_JX332067_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_sp	perithecium_(hymenium_hidden,_narrow_opening)	plant_pathogen
SH1397514.10FU_LC474612_refs	0.011434847598713	SH1397514.10FU_LC474612_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Ustilaginoidea;s__Ustilaginoidea_virens	not reported	plant_pathogen
SH1293944.10FU_MK450645_reps	0.0107906079987334	SH1293944.10FU_MK450645_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
