id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1293960.10FU_MK452261_reps	0.0359471206744756	SH1293960.10FU_MK452261_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_versicolor	not reported	unspecified_saprotroph
SH1205804.10FU_JF680900_refs	0.0228488332444336	SH1205804.10FU_JF680900_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Cutaneotrichosporon;s__Cutaneotrichosporon_cyanovorans	none	animal_parasite
SH1392231.10FU_UDB02232611_reps	0.0203908473720238	SH1392231.10FU_UDB02232611_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1231650.10FU_HG936985_reps	0.0199816303114021	SH1231650.10FU_HG936985_reps	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Microbotryomycetes_fam_Incertae_sedis;g__Sampaiozyma;s__Sampaiozyma_sp	none	soil_saprotroph
SH1205773.10FU_AF410470_refs	0.0196872515309748	SH1205773.10FU_AF410470_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Vanrija;s__Vanrija_humicola	none	wood_saprotroph
SH1056848.10FU_MT534186_reps	0.0168299498408449	SH1056848.10FU_MT534186_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Clavispora;s__Clavispora_lusitaniae	none	litter_saprotroph
SH1344862.10FU_KU872819_reps	0.0157215848678837	SH1344862.10FU_KU872819_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani	not reported	plant_pathogen
SH1205870.10FU_AF444414_refs	0.0154174681776638	SH1205870.10FU_AF444414_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_domesticum	none	soil_saprotroph
SH1414117.10FU_MT791374_reps	0.0131860044472685	SH1414117.10FU_MT791374_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_longibrachiatum	perithecium_(hymenium_hidden,_narrow_opening)	mycoparasite
SH1135439.10FU_DQ641243_reps	0.0131607355165305	SH1135439.10FU_DQ641243_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;s__Metschnikowia_borealis	none	nectar/tap_saprotroph
SH1254633.10FU_KJ706224_reps	0.0129341554521945	SH1254633.10FU_KJ706224_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__Kazachstania_humilis	none	nectar/tap_saprotroph
SH1352589.10FU_AF050269_refs	0.0118354165076792	SH1352589.10FU_AF050269_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_dermatitidis	not reported	animal_parasite
SH1382655.10FU_AB049123_refs	0.0113818771304472	SH1382655.10FU_AB049123_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_dubliniensis	none	nectar/tap_saprotroph
SH1081166.10FU_KT964882_reps	0.0112308184297777	SH1081166.10FU_KT964882_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Auricularia_auricula-judae	tremelloid	wood_saprotroph
SH1262657.10FU_EF652036_refs	0.0104404084685187	SH1262657.10FU_EF652036_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	not reported	unspecified_saprotroph
SH1088456.10FU_OQ303637_reps	0.0103969177855478	SH1088456.10FU_OQ303637_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma;s__Ganoderma_sp	polyporoid	plant_pathogen
SH1362727.10FU_MH794965_reps	0.0100200768186982	SH1362727.10FU_MH794965_reps	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_fam_Incertae_sedis;g__Pezizales_gen_Incertae_sedis;s__Pezizales_sp		
SH1391127.10FU_DQ219433_refs	0.0098423192237304	SH1391127.10FU_DQ219433_refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Apiosporaceae;g__Nigrospora;s__Nigrospora_oryzae	perithecium_(hymenium_hidden,_narrow_opening)	litter_saprotroph
SH1232286.10FU_EF652066_refs	0.0094529351777279	SH1232286.10FU_EF652066_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_ruber	not reported	unspecified_saprotroph
SH1256341.10FU_UDB01681231_reps	0.0091711204217028	SH1256341.10FU_UDB01681231_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidiaceae_gen_Incertae_sedis;s__Ceratobasidiaceae_sp		
