id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1267536.10FU_OP198446_reps	0.181574175174769	SH1267536.10FU_OP198446_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_flavus	not reported	unspecified_saprotroph
SH1236496.10FU_UDB05283545_reps	0.0846354284735491	SH1236496.10FU_UDB05283545_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Echinoderma;s__Echinoderma_sp	agaricoid	soil_saprotroph
SH1297117.10FU_UDB033861_reps	0.0554099169973927	SH1297117.10FU_UDB033861_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricaceae_gen_Incertae_sedis;s__Agaricaceae_sp		
SH1366337.10FU_OQ998354_reps	0.0470922669866395	SH1366337.10FU_OQ998354_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp		
SH1081214.10FU_KR605641_reps	0.0405829291955501	SH1081214.10FU_KR605641_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Auricularia_nigricans	tremelloid	wood_saprotroph
SH1205283.10FU_KX646694_reps	0.0281126471897131	SH1205283.10FU_KX646694_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp		
SH1387283.10FU_ON790299_reps	0.0225643803707595	SH1387283.10FU_ON790299_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp		
SH1328466.10FU_MN473058_refs	0.0222875800920484	SH1328466.10FU_MN473058_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Kalmusia;s__Kalmusia_erioi	perithecium_(hymenium_hidden,_narrow_opening)	wood_saprotroph
SH1335104.10FU_EF679363_refs	0.0221871313293064	SH1335104.10FU_EF679363_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum	perithecium_(hymenium_hidden,_narrow_opening)	litter_saprotroph
SH1301806.10FU_KU712516_reps	0.0211036668711401	SH1301806.10FU_KU712516_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_clastophylla	agaricoid	soil_saprotroph
SH1233896.10FU_EU935526_reps	0.0157963748658286	SH1233896.10FU_EU935526_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp		
SH1297112.10FU_ON715781_reps	0.0148265694092645	SH1297112.10FU_ON715781_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricaceae_gen_Incertae_sedis;s__Agaricaceae_sp		
SH1389652.10FU_KR150741_reps	0.0139535438013291	SH1389652.10FU_KR150741_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Candolleomyces;s__Candolleomyces_candolleanus		
SH1382014.10FU_AY743636_refs	0.0133428886247561	SH1382014.10FU_AY743636_refs	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_restricta	none	soil_saprotroph
SH1315515.10FU_OR392746_reps	0.0133018392588872	SH1315515.10FU_OR392746_reps	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_sp	none	soil_saprotroph
SH1370437.10FU_MG741995_refs	0.0131708084729721	SH1370437.10FU_MG741995_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Chlorophyllum;s__Chlorophyllum_globosum	agaricoid	litter_saprotroph
SH1217391.10FU_MN061313_reps	0.0127353601204402	SH1217391.10FU_MN061313_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus_crispus	agaricoid	litter_saprotroph
SH1197979.10FU_OL901220_reps	0.0126329830020617	SH1197979.10FU_OL901220_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina	not reported	plant_pathogen
SH1082118.10FU_KX657006_reps	0.0118404586677062	SH1082118.10FU_KX657006_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_purpurlesquameus	agaricoid	soil_saprotroph
SH1081204.10FU_JX065172_refs	0.0108264803756556	SH1081204.10FU_JX065172_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariaceae;g__Auricularia;s__Auricularia_nigricans	tremelloid	wood_saprotroph
