id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1135454.10FU_DQ641241_reps	0.14035140312448	SH1135454.10FU_DQ641241_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;s__Metschnikowia_sp	none	nectar/tap_saprotroph
SH1239211.10FU_KY101920_refs	0.131106272028	SH1239211.10FU_KY101920_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Yarrowia;s__Yarrowia_alimentaria	none	unspecified_saprotroph
SH1239183.10FU_KY103663_refs	0.0683625005478656	SH1239183.10FU_KY103663_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__Kazachstania_pintolopesii	none	nectar/tap_saprotroph
SH1319629.10FU_EU594608_reps	0.0336098295827292	SH1319629.10FU_EU594608_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_tropicalis	none	nectar/tap_saprotroph
SH1393052.10FU_KT758093_reps	0.0332465129116121	SH1393052.10FU_KT758093_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1382505.10FU_EF567995_refs	0.022990500939211	SH1382505.10FU_EF567995_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	none	nectar/tap_saprotroph
SH1242669.10FU_AY542871_refs	0.021643132710554	SH1242669.10FU_AY542871_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Kurtzmaniella;s__Kurtzmaniella_sp	none	nectar/tap_saprotroph
SH1085902.10FU_AB018043_refs	0.0169977637738007	SH1085902.10FU_AB018043_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	none	nectar/tap_saprotroph
SH1189604.10FU_OL691876_reps	0.0158171405657263	SH1189604.10FU_OL691876_reps	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_sp	none	soil_saprotroph
SH1206929.10FU_JX332067_reps	0.0150310715145998	SH1206929.10FU_JX332067_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_sp	perithecium_(hymenium_hidden,_narrow_opening)	plant_pathogen
SH1277523.10FU_AJ229065_refs	0.0147902884153659	SH1277523.10FU_AJ229065_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__Kazachstania_unispora	none	nectar/tap_saprotroph
SH1232286.10FU_EF652066_refs	0.0147211450332061	SH1232286.10FU_EF652066_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_ruber	not reported	unspecified_saprotroph
SH1338507.10FU_MT974688_reps	0.0140954042258257	SH1338507.10FU_MT974688_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Clavispora;s__Clavispora_sp	none	litter_saprotroph
SH1135439.10FU_DQ641243_reps	0.0139698843029103	SH1135439.10FU_DQ641243_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Metschnikowia;s__Metschnikowia_borealis	none	nectar/tap_saprotroph
SH1392968.10FU_KJ956016_reps	0.0137579204507908	SH1392968.10FU_KJ956016_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Geotrichum;s__Geotrichum_sp	none	nectar/tap_saprotroph
SH1053082.10FU_KY104486_refs	0.0134825195549888	SH1053082.10FU_KY104486_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Peterozyma;s__Peterozyma_xylosa	none	nectar/tap_saprotroph
SH1083413.10FU_AF444400_refs	0.0130238435119636	SH1083413.10FU_AF444400_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Cystofilobasidium;s__Cystofilobasidium_infirmominiatum	none	litter_saprotroph
SH1056848.10FU_MT534186_reps	0.0130211157175617	SH1056848.10FU_MT534186_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae;g__Clavispora;s__Clavispora_lusitaniae	none	litter_saprotroph
SH1341237.10FU_NR_111249_refs	0.0126568367534265	SH1341237.10FU_NR_111249_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Diutina;s__Diutina_rugosa	none	nectar/tap_saprotroph
SH1242810.10FU_JN942657_refs	0.0126299464713369	SH1242810.10FU_JN942657_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__Debaryomyces_prosopidis	none	nectar/tap_saprotroph
